City,State
new_york,New York
los_angeles,California
chicago,Illinois
houston,Texas
phoenix,Arizona
philadelphia,Pennsylvania
san_antonio,Texas
san_diego,California
dallas,Texas
san_jose,California
austin,Texas
jacksonville,Florida
fort_worth,Texas
columbus,Ohio
indianapolis,Indiana
charlotte,North Carolina
san_francisco,California
seattle,Washington
denver,Colorado
oklahoma_city,Oklahoma
nashville,Tennessee
el_paso,Texas
washington,District of Columbia
boston,Massachusetts
las_vegas,Nevada
portland,Oregon
detroit,Michigan
louisville,Kentucky
memphis,Tennessee
baltimore,Maryland
milwaukee,Wisconsin
albuquerque,New Mexico
fresno,California
tucson,Arizona
sacramento,California
mesa,Arizona
kansas_city,Missouri
atlanta,Georgia
omaha,Nebraska
colorado_springs,Colorado
raleigh,North Carolina
virginia_beach,Virginia
long_beach,California
miami,Florida
oakland,California
minneapolis,Minnesota
tulsa,Oklahoma
bakersfield,California
wichita,Kansas
arlington,Texas
aurora,Colorado
tampa,Florida
new_orleans,Louisiana
cleveland,Ohio
anaheim,California
honolulu,Hawaii
henderson,Nevada
stockton,California
lexington,Kentucky
corpus_christi,Texas
riverside,California
santa_ana,California
orlando,Florida
irvine,California
cincinnati,Ohio
newark,New Jersey
saint_paul,Minnesota
pittsburgh,Pennsylvania
greensboro,North Carolina
st._louis,Missouri
lincoln,Nebraska
plano,Texas
anchorage,Alaska
durham,North Carolina
jersey_city,New Jersey
chandler,Arizona
chula_vista,California
buffalo,New York
north_las_vegas,Nevada
gilbert,Arizona
madison,Wisconsin
reno,Nevada
toledo,Ohio
fort_wayne,Indiana
lubbock,Texas
st._petersburg,Florida
laredo,Texas
irving,Texas
chesapeake,Virginia
winston_salem,North Carolina
glendale,Arizona
scottsdale,Arizona
garland,Texas
boise,Idaho
norfolk,Virginia
spokane,Washington
fremont,California
richmond,Virginia
santa_clarita,California
san_bernardino,California
